,0
0,800
1,810
2,812
3,820
4,822
5,828
6,829
7,830
8,832
9,834
10,835
11,836
12,837
13,838
14,839
15,840
16,841
17,845
18,846
19,847
20,850
21,852
22,853
23,854
24,860
25,862
26,870
27,872
28,873
29,874
30,875
31,880
32,885
33,886
34,2000
35,2007
36,2008
37,2009
38,2010
39,2011
40,2015
41,2016
42,2017
43,2018
44,2019
45,2020
46,2021
47,2022
48,2023
49,2024
50,2025
51,2026
52,2027
53,2028
54,2029
55,2030
56,2031
57,2032
58,2033
59,2034
60,2035
61,2036
62,2037
63,2038
64,2039
65,2040
66,2041
67,2042
68,2043
69,2044
70,2045
71,2046
72,2047
73,2048
74,2049
75,2050
76,2060
77,2061
78,2062
79,2063
80,2064
81,2065
82,2066
83,2067
84,2068
85,2069
86,2070
87,2071
88,2072
89,2073
90,2074
91,2075
92,2076
93,2077
94,2079
95,2080
96,2081
97,2082
98,2083
99,2084
100,2085
101,2086
102,2087
103,2088
104,2089
105,2090
106,2092
107,2093
108,2094
109,2095
110,2096
111,2097
112,2099
113,2100
114,2101
115,2102
116,2103
117,2104
118,2105
119,2106
120,2107
121,2108
122,2109
123,2110
124,2111
125,2112
126,2113
127,2114
128,2115
129,2116
130,2117
131,2118
132,2119
133,2120
134,2121
135,2122
136,2123
137,2125
138,2126
139,2127
140,2128
141,2130
142,2131
143,2132
144,2133
145,2134
146,2135
147,2136
148,2137
149,2138
150,2140
151,2141
152,2142
153,2143
154,2144
155,2145
156,2146
157,2147
158,2148
159,2150
160,2151
161,2152
162,2153
163,2154
164,2155
165,2156
166,2157
167,2158
168,2159
169,2160
170,2161
171,2162
172,2163
173,2164
174,2165
175,2166
176,2167
177,2168
178,2170
179,2171
180,2172
181,2173
182,2174
183,2175
184,2176
185,2177
186,2178
187,2179
188,2190
189,2191
190,2192
191,2193
192,2194
193,2195
194,2196
195,2197
196,2198
197,2199
198,2200
199,2203
200,2204
201,2205
202,2206
203,2207
204,2208
205,2209
206,2210
207,2211
208,2212
209,2213
210,2214
211,2216
212,2217
213,2218
214,2219
215,2220
216,2221
217,2222
218,2223
219,2224
220,2225
221,2226
222,2227
223,2228
224,2229
225,2230
226,2231
227,2232
228,2233
229,2234
230,2250
231,2251
232,2256
233,2257
234,2258
235,2259
236,2260
237,2261
238,2262
239,2263
240,2264
241,2265
242,2267
243,2278
244,2280
245,2281
246,2282
247,2283
248,2284
249,2285
250,2286
251,2287
252,2289
253,2290
254,2291
255,2292
256,2293
257,2294
258,2295
259,2296
260,2297
261,2298
262,2299
263,2300
264,2302
265,2303
266,2304
267,2305
268,2306
269,2307
270,2308
271,2311
272,2312
273,2315
274,2316
275,2317
276,2318
277,2319
278,2320
279,2321
280,2322
281,2323
282,2324
283,2325
284,2326
285,2327
286,2328
287,2329
288,2330
289,2333
290,2334
291,2335
292,2336
293,2337
294,2338
295,2339
296,2340
297,2341
298,2342
299,2343
300,2344
301,2345
302,2346
303,2347
304,2350
305,2352
306,2353
307,2354
308,2355
309,2356
310,2357
311,2358
312,2359
313,2360
314,2361
315,2365
316,2369
317,2370
318,2371
319,2372
320,2379
321,2380
322,2381
323,2382
324,2386
325,2387
326,2388
327,2390
328,2395
329,2396
330,2397
331,2398
332,2399
333,2400
334,2401
335,2402
336,2403
337,2404
338,2405
339,2406
340,2408
341,2409
342,2410
343,2411
344,2415
345,2420
346,2421
347,2422
348,2423
349,2424
350,2425
351,2426
352,2427
353,2428
354,2429
355,2430
356,2431
357,2439
358,2440
359,2441
360,2443
361,2444
362,2445
363,2446
364,2447
365,2448
366,2449
367,2450
368,2452
369,2453
370,2454
371,2455
372,2456
373,2460
374,2462
375,2463
376,2464
377,2465
378,2466
379,2469
380,2470
381,2471
382,2472
383,2473
384,2474
385,2475
386,2476
387,2477
388,2478
389,2479
390,2480
391,2481
392,2482
393,2483
394,2484
395,2485
396,2486
397,2487
398,2488
399,2489
400,2490
401,2500
402,2502
403,2505
404,2506
405,2508
406,2515
407,2516
408,2517
409,2518
410,2519
411,2525
412,2526
413,2527
414,2528
415,2529
416,2530
417,2533
418,2534
419,2535
420,2536
421,2537
422,2538
423,2539
424,2540
425,2541
426,2545
427,2546
428,2548
429,2549
430,2550
431,2551
432,2555
433,2556
434,2557
435,2558
436,2559
437,2560
438,2563
439,2564
440,2565
441,2566
442,2567
443,2568
444,2569
445,2570
446,2571
447,2572
448,2573
449,2574
450,2575
451,2576
452,2577
453,2578
454,2579
455,2580
456,2581
457,2582
458,2583
459,2584
460,2585
461,2586
462,2587
463,2588
464,2590
465,2594
466,2600
467,2601
468,2602
469,2603
470,2604
471,2605
472,2606
473,2607
474,2609
475,2611
476,2612
477,2614
478,2615
479,2617
480,2618
481,2619
482,2620
483,2621
484,2622
485,2623
486,2625
487,2626
488,2627
489,2628
490,2629
491,2630
