postcode,outright,mortgage,rent
2000,16,27,83
2007,64,28,120
2008,183,208,559
2009,62,106,230
2010,686,814,1625
2011,111,137,599
2015,374,600,629
2016,449,496,720
2017,135,249,575
2018,1070,653,469
2019,694,962,426
2020,840,686,414
2021,1310,1140,1204
2022,755,712,491
2023,795,526,149
2024,808,752,276
2025,649,431,315
2026,1269,1256,700
2027,372,174,121
2028,258,140,94
2029,551,415,162
2030,1546,1045,375
2031,1883,1629,807
2032,1136,708,946
2033,552,337,264
2034,949,867,446
2035,3078,2221,1390
2036,2418,2035,1450
2037,837,748,1791
2038,773,942,764
2039,598,886,648
2040,1876,2497,1829
2041,1620,1473,1045
2042,1061,1460,1909
2043,287,588,596
2044,704,938,634
2045,1056,610,242
2046,2607,1984,1094
2047,856,719,335
2048,606,636,520
2049,734,912,556
2050,238,336,396
2060,790,483,542
2061,139,60,56
2062,455,445,284
2063,877,572,227
2064,491,398,224
2065,1727,1490,920
2066,2549,2322,898
2067,1578,1178,707
2068,2003,1785,682
2069,1816,1419,453
2070,1464,1206,381
2071,1483,1098,350
2072,714,545,255
2073,1992,1954,486
2074,2743,2514,624
2075,2609,2380,549
2076,2802,2945,871
2077,2648,2957,1241
2079,826,1096,287
2080,197,271,76
2081,625,845,199
2082,683,823,189
2083,213,220,108
2084,437,419,126
2085,1714,1495,369
2086,1615,1871,503
2087,1659,1550,545
2088,2611,1840,727
2089,431,333,210
2090,727,589,291
2092,834,893,334
2093,2195,2187,711
2094,459,447,215
2095,640,470,332
2096,988,1012,385
2097,1451,1579,398
2099,2537,2769,1431
2100,2148,2435,846
2101,1650,1643,754
2102,621,888,281
2103,1204,976,376
2104,590,367,200
2105,275,252,68
2106,1002,1022,294
2107,1940,1857,486
2108,318,124,102
2109,21,0,99
2110,1177,969,318
2111,1518,1313,597
2112,2953,2579,1633
2113,1811,1652,1026
2114,1867,1656,930
2115,863,1109,1181
2116,524,760,747
2117,1850,2284,1881
2118,2600,2237,1275
2119,1666,1386,352
2120,2496,2653,961
2121,2956,2334,1278
2122,2987,2557,2427
2123,0,0,0
2125,2218,2142,558
2126,2230,2493,815
2127,318,515,237
2128,85,139,150
2130,406,372,235
2131,1147,791,647
2132,1117,853,475
2133,1150,1045,586
2134,923,446,540
2135,2017,1320,731
2136,785,612,387
2137,2426,1783,924
2138,942,769,435
2140,314,312,338
2141,2096,1896,1849
2142,1239,1339,1601
2143,740,650,625
2144,1854,1664,1807
2145,6158,6971,5380
2146,1696,2006,1304
2147,3693,4522,3215
2148,5042,6417,5616
2150,484,419,769
2151,1523,1622,1151
2152,936,1189,695
2153,6265,7656,2502
2154,4168,4615,1983
2155,3330,8963,2608
2156,1699,1564,435
2157,436,449,180
2158,1059,976,357
2159,671,575,203
2160,2578,2275,2461
2161,2057,2426,2374
2162,1613,1533,1635
2163,464,484,903
2164,2032,1763,1516
2165,3023,2607,3282
2166,3857,3252,3939
2167,689,1249,872
2168,2927,4291,3644
2170,7229,10019,6651
2171,1777,5454,1631
2172,238,440,121
2173,841,2006,1228
2174,81,336,141
2175,278,121,97
2176,5418,4558,2778
2177,1323,1538,1370
2178,482,341,217
2179,737,443,555
2190,2178,2185,2038
2191,689,681,507
2192,1040,758,627
2193,1647,1186,558
2194,1047,782,829
2195,899,743,687
