postcode,dwellings
"2000, NSW",624
"2006, NSW",5
"2007, NSW",484
"2008, NSW",1176
"2009, NSW",361
"2010, NSW",3905
"2011, NSW",819
"2015, NSW",1858
"2016, NSW",2162
"2017, NSW",1129
"2018, NSW",2427
"2019, NSW",2279
"2020, NSW",2272
"2021, NSW",4505
"2022, NSW",2474
"2023, NSW",1939
"2024, NSW",2327
"2025, NSW",1898
"2026, NSW",4126
"2027, NSW",920
"2028, NSW",626
"2029, NSW",1404
"2030, NSW",3594
"2031, NSW",5070
"2032, NSW",3228
"2033, NSW",1364
"2034, NSW",2775
"2035, NSW",7776
"2036, NSW",6465
"2037, NSW",3864
"2038, NSW",2878
"2039, NSW",2439
"2040, NSW",7052
"2041, NSW",4901
"2042, NSW",5369
"2043, NSW",1680
"2044, NSW",2650
"2045, NSW",2232
"2046, NSW",6730
"2047, NSW",2594
"2048, NSW",2155
"2049, NSW",2652
"2050, NSW",1070
"2052, NSW",4
"2060, NSW",1932
"2061, NSW",381
"2062, NSW",1344
"2063, NSW",1842
"2064, NSW",1208
"2065, NSW",4906
"2066, NSW",6524
"2067, NSW",4081
"2068, NSW",4841
"2069, NSW",4143
"2070, NSW",3415
"2071, NSW",3283
"2072, NSW",1740
"2073, NSW",4926
"2074, NSW",6582
"2075, NSW",5812
"2076, NSW",7201
"2077, NSW",7748
"2079, NSW",2389
"2080, NSW",582
"2081, NSW",1713
"2082, NSW",2088
"2083, NSW",746
"2084, NSW",1132
"2085, NSW",3698
"2086, NSW",4422
"2087, NSW",3932
"2088, NSW",6313
"2089, NSW",1711
"2090, NSW",2071
"2092, NSW",2229
"2093, NSW",5526
"2094, NSW",1190
"2095, NSW",1986
"2096, NSW",2707
"2097, NSW",3797
"2099, NSW",7405
"2100, NSW",6021
"2101, NSW",4743
"2102, NSW",2008
"2103, NSW",2818
"2104, NSW",1040
"2105, NSW",783
"2106, NSW",2704
"2107, NSW",5307
"2108, NSW",1360
"2109, NSW",100
"2110, NSW",2824
"2111, NSW",3609
"2112, NSW",7910
"2113, NSW",4725
"2114, NSW",4805
"2115, NSW",3150
"2116, NSW",1934
"2117, NSW",6061
"2118, NSW",6612
"2119, NSW",3629
"2120, NSW",6547
"2121, NSW",7000
"2122, NSW",8295
"2125, NSW",5222
"2126, NSW",5976
"2127, NSW",1140
"2128, NSW",343
"2129, NSW",0
"2130, NSW",1236
