month,installations,cumulative
Apr 2001,12.0,12.0
May 2001,12.0,24.0
Jun 2001,18.0,42.0
Jul 2001,7.0,49.0
Aug 2001,10.0,59.0
Sep 2001,17.0,76.0
Oct 2001,10.0,86.0
Nov 2001,19.0,105.0
Dec 2001,13.0,118.0
Jan 2002,16.0,134.0
Feb 2002,19.0,153.0
Mar 2002,14.0,167.0
Apr 2002,15.0,182.0
May 2002,19.0,201.0
Jun 2002,16.0,217.0
Jul 2002,16.0,233.0
Aug 2002,19.0,252.0
Sep 2002,27.0,279.0
Oct 2002,21.0,300.0
Nov 2002,36.0,336.0
Dec 2002,33.0,369.0
Jan 2003,44.0,413.0
Feb 2003,33.0,446.0
Mar 2003,44.0,490.0
Apr 2003,16.0,506.0
May 2003,15.0,521.0
Jun 2003,46.0,567.0
Jul 2003,63.0,630.0
Aug 2003,83.0,713.0
Sep 2003,69.0,782.0
Oct 2003,85.0,867.0
Nov 2003,92.0,959.0
Dec 2003,74.0,1033.0
Jan 2004,44.0,1077.0
Feb 2004,92.0,1169.0
Mar 2004,68.0,1237.0
Apr 2004,75.0,1312.0
May 2004,84.0,1396.0
Jun 2004,85.0,1481.0
Jul 2004,89.0,1570.0
Aug 2004,102.0,1672.0
Sep 2004,85.0,1757.0
Oct 2004,137.0,1894.0
Nov 2004,120.0,2014.0
Dec 2004,108.0,2122.0
Jan 2005,99.0,2221.0
Feb 2005,118.0,2339.0
Mar 2005,110.0,2449.0
Apr 2005,139.0,2588.0
May 2005,137.0,2725.0
Jun 2005,95.0,2820.0
Jul 2005,106.0,2926.0
Aug 2005,107.0,3033.0
Sep 2005,97.0,3130.0
Oct 2005,115.0,3245.0
Nov 2005,142.0,3387.0
Dec 2005,141.0,3528.0
Jan 2006,59.0,3587.0
Feb 2006,57.0,3644.0
Mar 2006,91.0,3735.0
Apr 2006,79.0,3814.0
May 2006,97.0,3911.0
Jun 2006,86.0,3997.0
Jul 2006,79.0,4076.0
Aug 2006,86.0,4162.0
Sep 2006,89.0,4251.0
Oct 2006,124.0,4375.0
Nov 2006,138.0,4513.0
Dec 2006,130.0,4643.0
Jan 2007,106.0,4749.0
Feb 2007,118.0,4867.0
Mar 2007,154.0,5021.0
Apr 2007,134.0,5155.0
May 2007,122.0,5277.0
Jun 2007,196.0,5473.0
Jul 2007,282.0,5755.0
Aug 2007,363.0,6118.0
Sep 2007,419.0,6537.0
Oct 2007,542.0,7079.0
Nov 2007,522.0,7601.0
Dec 2007,522.0,8123.0
Jan 2008,528.0,8651.0
Feb 2008,645.0,9296.0
Mar 2008,684.0,9980.0
Apr 2008,875.0,10855.0
May 2008,1031.0,11886.0
Jun 2008,928.0,12814.0
Jul 2008,1147.0,13961.0
Aug 2008,1177.0,15138.0
Sep 2008,1329.0,16467.0
Oct 2008,1821.0,18288.0
Nov 2008,1769.0,20057.0
Dec 2008,2130.0,22187.0
Jan 2009,2170.0,24357.0
Feb 2009,2990.0,27347.0
Mar 2009,3573.0,30920.0
Apr 2009,3429.0,34349.0
May 2009,4082.0,38431.0
Jun 2009,4345.0,42776.0
Jul 2009,5169.0,47945.0
Aug 2009,5724.0,53669.0
Sep 2009,6268.0,59937.0
Oct 2009,7818.0,67755.0
Nov 2009,9279.0,77034.0
Dec 2009,8069.0,85103.0
Jan 2010,8398.0,93501.0
Feb 2010,10295.0,103796.0
Mar 2010,13228.0,117024.0
Apr 2010,13413.0,130437.0
May 2010,16686.0,147123.0
Jun 2010,18160.0,165283.0
Jul 2010,16808.0,182091.0
Aug 2010,17390.0,199481.0
Sep 2010,19022.0,218503.0
Oct 2010,21170.0,239673.0
Nov 2010,24984.0,264657.0
Dec 2010,18654.0,283311.0
Jan 2011,25466.0,308777.0
Feb 2011,28850.0,337627.0
Mar 2011,35528.0,373155.0
Apr 2011,33179.0,406334.0
May 2011,50289.0,456623.0
Jun 2011,68867.0,525490.0
Jul 2011,22220.0,547710.0
Aug 2011,22127.0,569837.0
Sep 2011,24875.0,594712.0
Oct 2011,16669.0,611381.0
Nov 2011,18079.0,629460.0
Dec 2011,14596.0,644056.0
Jan 2012,13017.0,657073.0
Feb 2012,19561.0,676634.0
Mar 2012,23632.0,700266.0
Apr 2012,26554.0,726820.0
May 2012,43477.0,770297.0
Jun 2012,59213.0,829510.0
Jul 2012,25777.0,855287.0
Aug 2012,27990.0,883277.0
Sep 2012,28421.0,911698.0
Oct 2012,22608.0,934306.0
Nov 2012,22504.0,956810.0
Dec 2012,30566.0,987376.0
Jan 2013,15004.0,1002380.0
Feb 2013,15491.0,1017871.0
Mar 2013,16143.0,1034014.0
Apr 2013,16742.0,1050756.0
May 2013,20145.0,1070901.0
Jun 2013,22208.0,1093109.0
Jul 2013,16754.0,1109863.0
Aug 2013,14945.0,1124808.0
Sep 2013,14889.0,1139697.0
Oct 2013,17332.0,1157029.0
Nov 2013,16984.0,1174013.0
Dec 2013,13770.0,1187783.0
Jan 2014,13782.0,1201565.0
Feb 2014,14118.0,1215683.0
Mar 2014,14265.0,1229948.0
Apr 2014,13500.0,1243448.0
May 2014,16187.0,1259635.0
Jun 2014,14429.0,1274064.0
Jul 2014,16276.0,1290340.0
Aug 2014,14813.0,1305153.0
Sep 2014,16678.0,1321831.0
Oct 2014,17322.0,1339153.0
Nov 2014,15238.0,1354391.0
Dec 2014,13531.0,1367922.0
Jan 2015,11463.0,1379385.0
Feb 2015,12876.0,1392261.0
Mar 2015,13165.0,1405426.0
Apr 2015,11071.0,1416497.0
May 2015,11626.0,1428123.0
Jun 2015,11785.0,1439908.0
Jul 2015,13102.0,1453010.0
Aug 2015,11619.0,1464629.0
Sep 2015,11777.0,1476406.0
Oct 2015,11477.0,1487883.0
Nov 2015,11235.0,1499118.0
Dec 2015,10294.0,1509412.0
Jan 2016,8206.0,1517618.0
Feb 2016,10957.0,1528575.0
Mar 2016,10640.0,1539215.0
Apr 2016,10288.0,1549503.0
May 2016,10690.0,1560193.0
Jun 2016,10064.0,1570257.0
Jul 2016,10132.0,1580389.0
Aug 2016,11461.0,1591850.0
Sep 2016,11310.0,1603160.0
Oct 2016,11059.0,1614219.0
Nov 2016,13435.0,1627654.0
Dec 2016,14435.0,1642089.0
Jan 2017,10129.0,1652218.0
Feb 2017,12988.0,1665206.0
Mar 2017,14229.0,1679435.0
