postcode,installations
0,4
200,1
800,101
801,7
803,2
804,15
810,"3,023"
811,2
812,"1,637"
813,7
814,3
820,980
821,7
822,774
828,191
829,30
830,"1,774"
831,9
832,"2,083"
834,208
835,445
836,"1,082"
837,54
838,109
839,20
840,105
841,62
845,67
846,43
847,18
850,598
851,45
852,133
853,1
854,10
860,117
861,21
862,32
870,"2,424"
871,57
872,157
873,115
874,17
875,110
880,22
881,12
885,12
886,10
1340,1
1355,1
1435,1
1460,1
1470,2
1475,3
1480,2
1485,1
1490,1
1495,1
1560,1
1570,2
1595,3
1630,7
1640,2
1655,3
1658,1
1660,2
1670,1
1680,2
1710,1
1715,2
1730,4
1741,1
1755,2
1765,8
1790,4
1800,1
1805,2
1830,1
1835,1
1848,1
1860,3
1871,1
1875,1
1885,5
1890,5
2000,47
2007,26
2008,75
2009,17
2010,155
2011,37
2015,209
2016,120
2017,66
2018,327
2019,319
2020,298
2021,195
2022,234
2023,213
2024,338
2025,118
2026,480
2027,74
2028,53
2029,144
2030,376
2031,601
2032,324
2033,175
2034,397
2035,965
2036,974
2037,242
2038,305
2039,224
2040,728
2041,413
2042,464
2043,117
2044,359
2045,238
2046,764
2047,236
2048,195
2049,295
2050,146
2055,1
2057,18
2059,3
2060,164
2061,21
2062,137
2063,329
2064,235
2065,549
2066,"1,112"
2067,563
2068,740
2069,631
2070,578
2071,498
2072,235
2073,689
2074,"1,064"
2075,820
2076,"1,035"
2077,"1,312"
2079,451
2080,142
2081,502
2082,539
2083,180
2084,265
2085,807
2086,772
2087,773
2088,694
2089,84
2090,191
2092,374
2093,906
2094,150
2095,275
2096,500
2097,716
2099,"1,357"
2100,"1,103"
2101,787
2102,430
2103,486
2104,187
2105,99
2106,336
2107,674
2108,95
2109,1
2110,361
2111,545
2112,"1,102"
2113,778
2114,775
2115,451
2116,284
2117,817
2118,"1,359"
2119,595
2120,"1,076"
2121,"1,280"
2122,"1,241"
2123,1
2124,5
2125,"1,296"
2126,"1,460"
2127,78
2128,116
2130,141
2131,442
2132,358
2133,338
2134,289
2135,765
2136,264
2137,786
2138,375
2140,173
2141,"1,185"
2142,701
2143,450
2144,"1,027"
2145,"3,930"
2146,"1,170"
2147,"2,821"
2148,"4,146"
2150,238
2151,790
2152,504
2153,"4,495"
2154,"2,671"
2155,"6,194"
2156,"1,310"
2157,344
2158,570
2159,422
2160,"1,126"
2161,"1,287"
2162,863
2163,355
2164,"1,546"
2165,"2,024"
2166,"2,623"
2167,826
2168,"2,691"
2170,"6,499"
2171,"2,781"
2172,286
2173,"1,057"
2174,757
2175,174
2176,"3,436"
2177,"1,118"
2178,326
2179,807
2190,"1,040"
2191,208
2192,348
2193,573
2194,388
2195,445
2196,"1,128"
2197,474
2198,421
2199,762
2200,"1,451"
2203,386
2204,800
2205,356
2206,776
2207,948
2208,559
2209,752
2210,"1,470"
2211,852
2212,799
2213,"1,216"
2214,354
2216,545
2217,640
2218,376
2219,458
2220,779
2221,660
2222,337
2223,887
2224,595
2225,285
2226,743
2227,583
2228,686
2229,"1,151"
2230,"1,112"
2231,187
2232,"1,519"
2233,"1,848"
2234,"2,172"
2250,"5,586"
2251,"2,723"
2256,"1,237"
2257,"2,134"
2258,466
2259,"7,072"
2260,"1,843"
2261,"3,762"
2262,"2,044"
2263,"2,262"
2264,"1,983"
2265,953
2267,316
2278,329
2280,"2,484"
2281,"1,475"
2282,"1,541"
2283,"2,626"
2284,"1,279"
2285,"3,096"
2286,451
2287,"3,500"
2289,"1,360"
2290,"2,614"
2291,927
2292,185
2293,154
2294,102
2295,636
2296,136
2297,161
2298,566
2299,746
2300,423
2302,17
2303,635
2304,"1,135"
2305,951
2306,69
2307,285
2308,4
2311,144
2312,221
2315,"1,613"
2316,819
2317,784
2318,"1,718"
2319,858
2320,"3,888"
2321,"2,012"
2322,"2,634"
2323,"2,538"
2324,"3,495"
2325,"3,116"
2326,901
2327,753
2328,256
2329,266
2330,"2,334"
2333,"1,169"
2334,347
2335,873
2336,309
2337,787
2338,206
2339,97
2340,"5,169"
2341,197
2342,51
2343,520
2344,109
2345,118
2346,424
2347,251
2350,"2,863"
2352,345
2353,192
2354,377
2355,77
2356,26
2357,"1,068"
2358,495
2359,126
2360,"1,930"
2361,180
2365,495
2369,135
2370,961
2371,219
2372,820
2379,42
2380,"1,192"
2381,172
2382,160
2386,41
2387,16
2388,634
2390,"2,275"
2395,111
2396,258
2397,80
2398,39
2399,118
2400,"2,336"
2401,45
2402,336
2403,121
2404,296
2405,78
2406,170
2408,49
2409,73
2410,39
2411,28
2415,75
2420,538
