postcode,Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)",Partial income stated,All incomes not stated,Not applicable,Total
"2000, NSW",0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,111
"2006, NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2007, NSW",0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,20
"2008, NSW",0,5,0,0,0,5,0,0,5,3,0,0,3,3,13,4,7,6,3,0,0,0,3,3,11,71
"2009, NSW",0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,3,0,0,0,0,3,0,6,0,16,58
"2010, NSW",0,3,0,0,3,11,9,13,9,13,7,13,16,39,21,12,26,17,16,17,28,3,30,7,49,357
"2011, NSW",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,18
"2015, NSW",0,8,0,10,10,28,19,26,21,22,28,22,24,70,37,46,52,17,14,21,22,0,39,13,81,620
"2016, NSW",0,4,4,5,13,24,11,8,11,14,15,11,14,35,25,17,26,14,14,15,15,4,34,8,50,394
"2017, NSW",0,3,0,8,16,5,7,8,7,12,10,9,7,21,18,7,18,12,3,9,6,0,14,5,49,260
"2018, NSW",0,3,0,10,15,24,10,10,13,17,14,7,14,18,13,6,11,3,8,3,3,0,21,4,36,262
"2019, NSW",0,0,0,11,7,17,10,12,17,21,12,14,13,34,23,19,21,9,7,5,0,0,22,10,40,337
"2020, NSW",0,5,3,7,10,20,13,21,16,15,18,21,8,26,23,26,8,9,8,7,7,0,29,6,39,350
"2021, NSW",0,0,0,5,3,6,4,8,5,15,12,13,14,23,13,9,29,10,8,11,19,0,18,3,51,297
"2022, NSW",0,0,5,3,9,22,10,15,17,22,19,22,26,44,37,25,46,23,29,36,35,3,46,11,96,609
"2023, NSW",0,0,0,0,0,3,0,0,0,3,5,4,0,0,0,0,5,0,6,8,3,0,0,5,8,66
"2024, NSW",0,5,0,3,3,17,17,16,18,27,24,18,11,26,29,18,28,16,22,25,44,0,44,14,61,485
"2025, NSW",3,3,0,5,4,6,12,9,12,11,14,9,12,23,12,9,25,16,13,19,30,0,24,6,54,342
"2026, NSW",0,15,10,16,16,47,27,44,53,44,47,35,38,88,74,54,95,63,50,61,82,6,114,22,174,1275
"2027, NSW",0,0,0,0,0,0,4,3,0,0,3,0,0,0,5,0,6,0,0,0,0,0,0,0,3,35
"2028, NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14
"2029, NSW",0,0,0,0,0,6,4,0,5,7,10,9,7,6,11,6,10,7,9,6,11,0,13,0,15,148
"2030, NSW",0,0,0,3,3,0,3,5,4,4,7,6,6,6,3,4,10,0,7,3,12,0,16,7,18,115
"2031, NSW",5,8,7,8,15,50,34,37,40,50,68,63,50,85,72,66,96,53,73,61,115,3,107,30,134,1356
"2032, NSW",0,15,10,16,30,47,27,35,32,33,21,25,20,46,28,13,23,12,18,15,13,0,44,22,50,599
"2033, NSW",0,0,0,4,0,3,3,8,6,8,14,4,5,17,9,13,10,4,11,6,6,0,12,0,16,164
"2034, NSW",0,3,0,9,6,12,13,10,11,12,18,15,11,32,22,11,32,14,16,26,33,4,30,5,47,400
"2035, NSW",0,11,5,24,33,61,42,50,70,58,60,45,51,117,73,72,70,35,42,36,39,0,90,29,124,1239
"2036, NSW",0,10,3,22,28,31,12,23,21,23,11,14,9,37,17,14,15,3,6,5,7,0,31,22,74,420
"2037, NSW",0,4,6,24,51,52,26,34,26,37,28,34,26,43,33,32,53,21,20,32,27,0,56,22,144,838
"2038, NSW",6,21,7,10,14,43,36,52,57,49,56,71,71,156,89,101,161,66,91,118,132,7,115,13,186,1719
"2039, NSW",0,9,5,8,8,21,23,27,25,29,29,36,28,82,42,46,99,34,37,66,88,0,65,13,103,911
"2040, NSW",4,16,14,21,43,85,51,87,80,88,86,84,89,216,143,154,210,104,131,148,157,4,195,31,246,2491
"2041, NSW",0,12,3,17,0,32,19,36,33,38,34,38,43,62,44,49,91,45,43,73,83,5,68,12,126,995
"2042, NSW",4,14,6,23,36,63,38,54,55,100,97,104,99,249,141,142,191,94,97,94,92,0,180,26,300,2300
"2043, NSW",0,3,3,3,8,17,18,24,13,27,28,21,32,62,41,39,41,15,29,16,14,4,30,8,69,567
"2044, NSW",0,10,0,13,15,52,6,26,36,34,48,38,44,91,56,50,47,16,26,18,13,0,49,9,82,775
"2045, NSW",0,4,5,4,10,13,10,11,9,11,13,12,9,31,14,7,11,9,10,13,13,0,26,9,16,255
"2046, NSW",0,5,3,5,9,25,12,23,16,15,18,15,21,46,20,28,35,8,12,18,21,0,39,12,67,478
"2047, NSW",0,3,0,6,10,8,4,16,22,20,14,10,17,38,35,25,34,19,23,24,23,4,28,0,49,432
"2048, NSW",0,10,6,11,5,26,14,30,32,46,46,35,36,101,46,56,71,47,44,57,56,0,76,13,83,934
"2049, NSW",0,6,9,11,8,23,13,34,20,27,20,31,27,67,46,50,51,25,27,31,24,3,42,4,63,665
"2050, NSW",0,3,4,4,5,13,10,15,10,24,14,18,26,48,47,34,37,22,14,24,25,0,44,4,58,496
"2052, NSW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2060, NSW",0,0,0,0,0,5,7,12,8,8,6,6,11,22,20,16,27,15,20,16,30,3,23,4,50,328
"2061, NSW",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,7,0,0,28
"2062, NSW",0,0,0,0,0,3,4,3,3,8,13,9,7,21,8,6,22,6,3,11,24,0,17,3,11,183
"2063, NSW",0,4,0,0,0,0,3,0,0,9,5,0,4,6,3,4,9,3,0,0,6,0,3,0,10,67
"2064, NSW",0,0,0,0,0,0,3,0,4,0,0,0,3,3,0,4,3,0,0,4,0,0,6,0,6,35
"2065, NSW",0,6,0,9,11,17,11,13,18,28,33,13,32,53,37,42,78,29,53,53,69,3,42,13,105,779
"2066, NSW",0,3,0,0,3,6,4,10,3,8,7,3,3,14,13,10,16,4,8,11,12,0,8,3,19,180
"2067, NSW",0,5,0,0,5,15,14,11,9,17,12,13,12,20,12,10,20,11,14,12,5,0,17,3,25,258
"2068, NSW",0,3,0,9,3,0,4,12,15,14,8,24,11,30,26,17,40,14,21,22,25,0,25,3,35,372
"2069, NSW",0,0,0,0,0,0,0,0,0,8,3,3,4,6,0,0,3,0,5,0,5,0,5,0,14,57
"2070, NSW",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,18
