postcode,Owned outright,Owned with a mortgage,Being purchased under a shared equity scheme,Rented,Being occupied rent-free,Being occupied under a life tenure scheme,Other tenure type,Not stated,Not applicable,Total
"2000, NSW",5,5,0,9,0,0,0,0,3,30
"2006, NSW",0,0,0,0,0,0,0,0,0,6
"2007, NSW",0,0,0,4,0,0,0,7,0,16
"2008, NSW",6,14,0,30,0,0,0,18,11,73
"2009, NSW",4,15,0,42,0,0,0,5,7,66
"2010, NSW",18,13,0,22,0,0,0,13,7,75
"2011, NSW",22,7,0,12,0,0,0,8,4,56
"2015, NSW",45,65,0,42,5,0,0,12,8,184
"2016, NSW",12,15,0,17,4,0,0,4,5,60
"2017, NSW",4,3,0,17,0,0,0,5,4,35
"2018, NSW",1019,561,0,294,17,4,7,114,160,2169
"2019, NSW",472,508,0,153,14,4,5,62,64,1279
"2020, NSW",744,565,0,300,11,0,7,87,103,1821
"2021, NSW",125,76,0,37,3,0,5,17,23,288
"2022, NSW",277,201,0,86,10,0,0,39,50,659
"2023, NSW",713,468,4,95,19,4,7,65,117,1486
"2024, NSW",505,397,0,95,8,0,6,61,92,1158
"2025, NSW",242,141,0,36,4,0,0,36,51,522
"2026, NSW",563,426,0,194,18,4,9,113,116,1438
"2027, NSW",191,76,0,24,9,0,3,37,37,380
"2028, NSW",172,82,0,38,6,0,0,16,27,333
"2029, NSW",439,282,0,81,3,3,0,48,63,924
"2030, NSW",1375,869,0,217,28,4,12,155,238,2896
"2031, NSW",999,723,0,268,22,0,4,89,142,2260
"2032, NSW",891,498,0,393,11,5,12,98,126,2033
"2033, NSW",464,258,3,127,16,0,3,45,53,964
"2034, NSW",676,520,0,168,10,0,7,71,104,1554
"2035, NSW",2267,1332,5,594,33,21,18,256,328,4856
"2036, NSW",2003,1439,4,561,33,3,21,232,218,4510
"2037, NSW",100,58,0,79,0,0,3,49,25,317
"2038, NSW",57,67,0,44,0,0,0,9,20,196
"2039, NSW",181,210,0,80,0,0,0,30,57,570
"2040, NSW",882,982,4,571,15,3,4,139,182,2792
"2041, NSW",197,170,0,71,11,0,3,44,71,567
"2042, NSW",155,172,0,135,0,0,5,48,27,555
"2043, NSW",36,42,0,38,4,0,0,15,14,149
"2044, NSW",460,463,0,287,6,0,6,100,104,1424
"2045, NSW",966,509,0,147,15,0,8,72,108,1836
"2046, NSW",2307,1607,3,673,45,0,11,208,343,5191
"2047, NSW",692,522,0,184,15,0,4,74,109,1608
"2048, NSW",232,188,0,156,3,0,0,43,48,667
"2049, NSW",435,433,0,231,14,0,8,91,81,1296
"2050, NSW",26,37,0,24,0,0,0,3,8,98
"2052, NSW",0,0,0,0,0,0,0,0,0,0
"2060, NSW",304,167,0,86,6,0,3,45,63,681
"2061, NSW",57,20,0,8,0,0,0,5,15,103
"2062, NSW",320,280,6,110,9,0,8,25,53,808
"2063, NSW",802,536,0,162,12,0,6,60,117,1705
"2064, NSW",417,289,0,83,8,0,0,32,45,877
"2065, NSW",1140,924,3,366,26,0,15,105,193,2764
"2066, NSW",2346,2063,4,565,39,4,18,176,379,5589
"2067, NSW",1428,1044,8,524,31,3,16,144,257,3456
"2068, NSW",1827,1575,3,483,34,3,15,165,267,4384
"2069, NSW",1775,1383,0,372,36,0,11,131,252,3977
"2070, NSW",1425,1193,4,331,26,0,15,90,169,3250
"2071, NSW",1452,1084,0,295,32,0,8,90,208,3175
"2072, NSW",676,512,0,207,20,4,11,47,111,1582
"2073, NSW",1946,1928,4,430,22,4,15,124,281,4745
"2074, NSW",2538,2453,0,498,25,40,24,186,352,6119
"2075, NSW",2214,2279,8,464,27,0,13,129,308,5443
"2076, NSW",2555,2784,0,647,36,4,13,191,371,6600
"2077, NSW",2392,2705,8,889,45,4,14,220,362,6639
