postcode,Owned outright,Owned with a mortgage,Being purchased under a shared equity scheme,Rented,Being occupied rent-free,Being occupied under a life tenure scheme,Other tenure type,Not stated,Not applicable,Total
"2000, NSW",0,0,0,15,0,0,0,8,91,111
"2006, NSW",0,0,0,0,0,0,0,0,0,0
"2007, NSW",11,0,0,10,0,0,0,3,0,20
"2008, NSW",7,10,0,36,0,0,4,7,5,71
"2009, NSW",6,12,0,23,0,0,0,13,5,58
"2010, NSW",86,81,0,142,0,0,0,30,21,357
"2011, NSW",4,0,0,11,0,0,0,3,5,18
"2015, NSW",127,189,0,204,8,0,0,39,54,620
"2016, NSW",100,96,0,139,0,0,3,25,39,394
"2017, NSW",45,51,4,99,0,0,0,26,27,260
"2018, NSW",40,65,0,123,0,0,0,4,25,262
"2019, NSW",90,137,0,60,0,0,0,21,25,337
"2020, NSW",91,112,0,89,3,0,5,23,27,350
"2021, NSW",77,77,0,81,0,0,0,29,29,297
"2022, NSW",185,165,0,142,9,0,0,61,51,609
"2023, NSW",29,13,0,10,0,0,0,9,0,66
"2024, NSW",151,155,0,104,3,0,0,36,38,485
"2025, NSW",110,80,0,81,6,3,0,26,38,342
"2026, NSW",388,366,0,304,9,5,0,98,107,1275
"2027, NSW",17,8,0,7,0,0,0,5,4,35
"2028, NSW",5,0,0,3,0,0,0,0,4,14
"2029, NSW",54,45,0,30,0,0,0,5,10,148
"2030, NSW",36,31,0,25,3,3,0,4,12,115
"2031, NSW",495,440,0,233,10,0,7,71,100,1356
"2032, NSW",152,121,0,248,0,0,0,40,24,599
"2033, NSW",40,40,0,56,0,0,0,6,12,164
"2034, NSW",120,147,0,68,4,0,0,32,31,400
"2035, NSW",421,359,3,294,9,4,8,73,79,1239
"2036, NSW",75,86,0,173,0,0,0,55,35,420
"2037, NSW",152,133,0,377,0,0,5,85,82,838
"2038, NSW",472,586,0,426,12,0,4,83,132,1719
"2039, NSW",201,342,0,238,8,0,0,52,64,911
"2040, NSW",673,933,0,571,16,5,5,133,161,2491
"2041, NSW",287,323,0,234,9,0,0,61,80,995
"2042, NSW",439,651,0,852,5,0,8,142,201,2300
"2043, NSW",108,174,0,204,3,0,0,39,41,567
"2044, NSW",187,296,0,191,4,5,3,51,47,775
"2045, NSW",74,86,0,62,0,0,0,10,10,255
"2046, NSW",121,181,0,95,0,0,3,29,52,478
"2047, NSW",128,143,0,85,0,0,0,43,24,432
"2048, NSW",271,304,0,248,7,0,0,58,48,934
"2049, NSW",180,250,0,154,8,0,0,32,37,665
"2050, NSW",115,136,0,174,3,0,0,26,43,496
"2052, NSW",0,0,0,0,0,0,0,0,0,0
"2060, NSW",105,78,0,79,7,0,0,15,38,328
"2061, NSW",12,8,0,9,0,0,0,0,6,28
"2062, NSW",61,64,0,44,0,0,4,6,13,183
"2063, NSW",20,14,0,20,0,0,0,0,8,67
"2064, NSW",8,10,0,6,0,0,0,3,5,35
"2065, NSW",198,265,0,190,3,0,0,52,66,779
"2066, NSW",49,60,0,47,3,0,0,7,18,180
"2067, NSW",76,71,0,72,4,5,3,13,21,258
"2068, NSW",94,126,0,105,3,0,0,17,27,372
"2069, NSW",9,8,0,20,4,0,0,4,9,57
"2070, NSW",10,3,0,5,0,0,0,0,4,18
"2071, NSW",24,0,0,7,0,0,0,6,0,42
"2072, NSW",0,5,0,3,0,0,0,0,0,8
"2073, NSW",4,6,0,13,0,0,0,5,9,31
"2074, NSW",85,8,0,8,0,4,0,19,14,137
"2075, NSW",26,4,0,3,0,0,0,5,3,43
"2076, NSW",27,27,0,24,0,8,0,8,11,106
"2077, NSW",25,27,0,92,0,6,5,24,8,202
"2079, NSW",6,3,0,10,0,0,0,5,0,25
"2080, NSW",0,8,0,14,0,0,0,0,0,21
"2081, NSW",4,7,0,5,0,0,0,0,0,17
"2082, NSW",0,10,0,0,0,0,0,5,0,16
"2083, NSW",0,0,0,0,0,0,0,0,0,0
"2084, NSW",0,0,0,0,0,0,0,0,0,5
"2085, NSW",218,8,0,6,0,52,10,77,33,405
"2086, NSW",3,10,0,30,0,0,0,5,5,58
"2087, NSW",26,8,0,23,0,0,0,9,4,72
"2088, NSW",276,268,0,154,8,0,0,38,79,829
"2089, NSW",76,87,0,54,8,0,4,19,21,266
"2090, NSW",64,74,0,39,0,0,0,12,24,210
"2092, NSW",12,6,0,5,0,0,0,6,7,29
"2093, NSW",58,50,0,40,0,0,0,20,19,189
"2094, NSW",53,79,0,35,0,0,0,5,21,190
"2095, NSW",118,140,0,80,0,7,0,16,36,406
"2096, NSW",5,15,0,36,0,0,0,4,0,65
"2097, NSW",8,5,0,10,0,0,0,5,10,31
"2099, NSW",25,26,0,106,0,14,0,24,24,216
"2100, NSW",30,28,0,84,0,6,0,23,33,195
"2101, NSW",124,27,0,103,0,86,22,61,34,458
"2102, NSW",10,27,0,7,0,11,0,9,5,65
"2103, NSW",39,30,0,37,0,3,0,13,20,146
"2104, NSW",13,4,0,5,0,0,0,0,0,17
"2105, NSW",0,0,0,0,0,0,0,0,0,0
"2106, NSW",16,6,0,5,0,0,0,0,12,41
"2107, NSW",11,9,0,11,0,0,0,0,0,35
"2108, NSW",0,0,0,0,0,0,0,0,0,0
"2109, NSW",11,0,0,15,0,20,0,10,7,60
"2110, NSW",27,23,0,9,0,0,0,9,11,74
"2111, NSW",68,67,0,94,5,0,0,19,34,281
"2112, NSW",213,209,3,276,4,5,6,46,44,809
"2113, NSW",73,77,0,128,0,0,0,21,15,321
"2114, NSW",149,176,0,172,8,0,0,23,32,559
"2115, NSW",31,87,0,138,0,0,0,26,25,310
"2116, NSW",9,8,0,57,0,0,0,12,12,96
"2117, NSW",65,68,0,195,4,4,4,44,30,418
"2118, NSW",29,38,0,55,0,0,0,6,13,145
"2119, NSW",29,5,0,9,0,0,0,0,8,48
"2120, NSW",63,33,0,106,0,20,4,17,22,266
"2121, NSW",71,74,0,110,0,0,0,40,29,328
"2122, NSW",266,212,0,358,5,4,6,46,53,952
"2123, NSW",0,0,0,0,0,0,0,0,0,0
"2125, NSW",9,14,0,24,0,12,0,5,12,73
"2126, NSW",65,38,0,36,0,19,5,20,12,189
"2127, NSW",0,0,0,0,0,0,0,0,0,0
"2128, NSW",0,3,0,4,0,0,0,0,0,9
"2129, NSW",0,0,0,0,0,0,0,0,0,0
"2130, NSW",70,116,0,66,6,0,0,18,18,292
"2131, NSW",110,120,0,113,5,0,0,16,44,410
"2132, NSW",79,133,0,102,0,0,0,11,27,360
"2133, NSW",81,138,3,83,0,0,0,19,28,355
"2134, NSW",58,41,0,121,5,0,0,14,19,253
"2135, NSW",25,19,0,45,0,0,0,4,8,113
"2136, NSW",44,31,0,48,0,0,0,9,8,152
"2137, NSW",49,70,0,100,3,0,0,12,23,266
"2138, NSW",3,7,0,8,0,0,0,4,7,28
"2139, NSW",0,0,0,0,0,0,0,0,0,0
"2140, NSW",3,10,0,23,0,0,0,0,8,48
"2141, NSW",31,66,0,114,0,0,0,46,22,277
"2142, NSW",25,50,0,123,6,5,0,59,41,310
"2143, NSW",24,17,0,21,0,0,0,5,5,76
"2144, NSW",42,26,0,95,5,0,0,38,17,218
"2145, NSW",317,663,6,925,6,15,5,176,135,2251
"2146, NSW",80,169,0,181,0,8,0,23,34,498
"2147, NSW",16,14,0,126,0,4,0,36,29,221
"2148, NSW",83,192,0,491,0,11,3,94,70,938
"2150, NSW",15,23,0,105,0,0,0,28,16,191
"2151, NSW",29,48,0,83,3,0,3,34,19,217
"2152, NSW",68,77,0,123,0,3,5,15,21,318
"2153, NSW",179,94,0,126,5,0,0,20,37,470
"2154, NSW",110,24,6,67,0,172,19,49,38,486
"2155, NSW",6,16,0,20,0,0,0,5,0,45
