postcode,nil,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)"
2000,0,0,0,3,14,7,3,3,8,3,3,4,3,0,6,10,3,12,4,8,3
2007,0,0,9,22,14,5,9,6,20,9,13,9,26,11,14,9,11,11,5,0,0
2008,28,15,20,29,35,19,36,35,52,44,44,58,85,80,66,79,48,33,43,36,7
2009,3,3,10,11,11,13,9,12,13,11,22,17,53,25,21,27,9,14,12,25,0
2010,54,24,36,69,96,59,81,102,147,152,123,141,301,173,168,312,143,129,212,272,37
2011,15,10,31,46,75,21,57,44,40,53,43,49,85,37,27,54,25,22,30,45,0
2015,20,4,21,30,58,45,58,46,60,62,61,56,163,111,125,161,64,74,113,129,8
2016,21,12,20,44,68,49,53,45,70,79,56,61,177,106,110,153,71,87,103,100,21
2017,25,8,31,50,51,35,43,41,37,55,49,48,89,61,38,49,43,31,37,36,6
2018,41,20,38,57,150,86,151,124,137,115,118,113,221,151,127,108,63,76,56,41,7
2019,36,7,35,27,81,55,84,78,115,104,85,114,252,200,155,137,82,89,77,42,9
2020,37,14,33,54,128,65,114,76,117,114,105,94,181,146,147,103,64,52,56,38,5
2021,41,20,39,39,75,68,86,95,133,119,103,122,314,171,162,452,190,222,305,484,74
2022,24,11,19,27,57,35,55,60,85,80,67,82,145,121,94,194,105,106,150,212,30
2023,20,4,14,9,13,18,11,27,34,29,34,47,72,60,63,159,85,100,152,255,55
2024,18,0,15,20,53,37,44,60,77,74,57,62,110,114,75,163,104,126,148,242,21
2025,22,11,11,18,23,23,33,40,43,52,44,42,108,45,51,173,73,79,112,207,31
2026,36,14,36,44,94,59,98,111,114,124,100,89,245,204,160,299,197,208,243,356,47
2027,10,5,3,7,7,17,15,13,13,18,16,22,40,33,27,78,23,20,66,116,25
2028,10,0,7,3,10,4,6,0,14,15,12,6,41,18,15,55,25,31,38,62,15
2029,18,3,11,0,18,15,18,30,35,49,44,43,69,54,55,97,62,80,114,143,15
2030,69,18,24,27,49,32,50,59,104,91,85,112,211,148,111,300,180,176,252,424,76
2031,56,14,40,52,113,97,115,126,164,208,179,170,322,269,226,377,253,285,325,447,51
2032,88,38,69,106,180,116,154,130,161,147,128,137,240,181,109,131,109,107,116,114,10
2033,38,9,28,19,30,25,34,42,57,69,42,62,91,77,65,66,47,68,82,87,16
2034,15,3,25,25,59,41,55,52,71,86,71,87,183,151,123,201,113,151,197,253,41
2035,106,46,107,124,302,202,317,302,378,331,270,291,646,472,393,425,268,320,328,340,53
2036,82,40,126,143,323,156,296,284,320,289,299,265,613,424,409,346,203,225,235,200,26
2037,64,34,105,173,204,106,150,165,172,129,129,134,271,176,156,256,131,138,167,204,22
